,0
1997-1,100.0
1997-2,102.52254033749202
1997-3,111.56547257820755
1997-4,114.67041141763066
1997-5,115.64895445813299
1997-6,121.81083751528918
1997-7,125.05110254253826
1997-8,120.36769514210323
1997-9,114.26763770409937
1997-10,124.08844373265057
1997-11,113.82084653811677
1997-12,114.89129238579805
1998-1,102.92663725278375
1998-2,95.61917741902157
1998-3,97.2333676787523
1998-4,94.21949425876961
1998-5,89.45005309944086
1998-6,79.51629122579789
1998-7,75.65744571070584
1998-8,74.1661429173917
1998-9,71.39003189027133
1998-10,72.16424836629787
1998-11,72.31205903633493
1998-12,74.38652310868761
1999-1,74.89671286904344
1999-2,74.94888444247353
1999-3,75.19927663279937
1999-4,76.3754550056917
1999-5,75.20380361895454
1999-6,75.84019050303623
1999-7,77.63492836335239
1999-8,74.99772051515214
1999-9,72.6756928391738
1999-10,71.79256192270299
1999-11,69.52670164466966
1999-12,71.4668061778747
2000-1,72.14960476907966
2000-2,74.21497034550228
2000-3,71.55836175891528
2000-4,70.50715570333189
2000-5,68.84392706923987
2000-6,64.60094844124205
2000-7,65.92233134090253
2000-8,65.15169644689965
2000-9,66.03512805533578
2000-10,66.48881069721143
2000-11,61.161924658851994
2000-12,62.40136728456259
2001-1,63.08461546396779
2001-2,63.67620430673349
2001-3,63.43485208091696
2001-4,62.225177134161235
2001-5,63.030382962085426
2001-6,62.478620151474786
2001-7,62.88667756082894
2001-8,61.669425196962955
2001-9,60.723849133654404
2001-10,60.99359298017433
2001-11,57.097861214638954
2001-12,58.08011367240553
2002-1,59.3850455089615
2002-2,60.18885776703337
2002-3,58.22952951406928
2002-4,57.62954877137824
2002-5,60.25916109277873
2002-6,56.97468879844276
2002-7,56.2299010781785
2002-8,60.048876911713066
2002-9,55.856530210187735
2002-10,56.825709454310434
2002-11,54.73481668129791
2002-12,50.94070288747847
2003-1,52.53202806571726
2003-2,54.41913270997415
2003-3,50.76653494950677
2003-4,50.368389077542105
2003-5,50.18553686729912
2003-6,53.39829111604624
2003-7,51.44773800370685
2003-8,50.0826511561535
2003-9,51.090338242714154
2003-10,53.13234304816539
2003-11,53.573002366069865
2003-12,54.55933338305243
2004-1,58.32460773299067
2004-2,60.77348377867702
2004-3,63.76597469640994
2004-4,64.17890806373636
2004-5,67.25239545687124
2004-6,69.86193146938948
2004-7,62.5108665979786
2004-8,68.84057127320146
2004-9,66.28987656173271
2004-10,70.30487921357481
2004-11,70.10780753104689
2004-12,69.0793720659055
2005-1,72.39089150632451
2005-2,73.47056421081412
2005-3,71.3142557574557
2005-4,73.48557760937679
2005-5,76.8359149788043
2005-6,74.75915644782457
2005-7,73.0744645984927
2005-8,72.81541855610337
2005-9,79.66708358924872
2005-10,79.16468112126313
2005-11,71.17307369606895
2005-12,69.13892739142614
2006-1,70.06561106969342
2006-2,72.72235352261018
2006-3,74.62015107009586
2006-4,71.79236316842974
2006-5,73.6787008886292
2006-6,71.27929698950838
2006-7,72.05802555010445
2006-8,77.35373738541334
2006-9,75.3872334614283
2006-10,71.9729383589565
2006-11,71.94788271984967
2006-12,71.69295559794419
2007-1,72.5366674179124
2007-2,72.11295343536956
2007-3,72.685334521804
2007-4,74.08799259082419
2007-5,75.03811968900845
2007-6,75.07721299513283
2007-7,76.1174371601451
2007-8,76.06838999970935
2007-9,78.72220577998026
2007-10,81.26416653574165
2007-11,83.50981700656658
2007-12,86.85065584918934
2008-1,87.67416937863798
2008-2,89.27919815462842
2008-3,97.35874552543294
2008-4,88.01522668083211
2008-5,93.48701462760359
2008-6,90.21791443489802
2008-7,87.81134117009798
2008-8,85.80193721940789
2008-9,85.32312532350069
2008-10,79.47618549261357
2008-11,74.43931884625032
2008-12,78.62977571096124
2009-1,76.79618600094736
2009-2,77.30669002471883
2009-3,78.60202866261295
2009-4,81.8020083518437
2009-5,84.43865051766166
2009-6,89.01822022122875
2009-7,91.75406270633802
2009-8,91.97028027130895
2009-9,92.00215398716634
2009-10,93.70285388549271
2009-11,93.29058326047783
2009-12,93.51095051725042
2010-1,95.14093411708643
2010-2,98.31420365065674
2010-3,101.50797343532645
2010-4,100.54463428506737
2010-5,99.91508795885869
2010-6,99.83163052455023
2010-7,104.5262399709734
2010-8,105.86234174444652
2010-9,106.98907959036568
2010-10,109.96714178884861
2010-11,110.43802047324411
2010-12,109.67234347925942
2011-1,114.6612595326036
2011-2,117.99043920647667
2011-3,122.51030921383766
2011-4,126.5244875133215
2011-5,127.10485541937764
2011-6,127.42402578110197
2011-7,127.17562905090738
2011-8,124.8849196917796
2011-9,123.27485768158353
2011-10,124.86946572430384
2011-11,123.06181437574351
2011-12,120.49816006782265
2012-1,123.46399389249594
2012-2,122.9666042306124
2012-3,127.92474207546856
2012-4,132.29314870644623
2012-5,134.68461100205607
2012-6,135.26883411401195
2012-7,135.846889400404
2012-8,137.94325347374166
2012-9,144.24450900848024
2012-10,148.68149120219104
2012-11,150.27708315576442
2012-12,149.709286123377
2013-1,155.98203660576507
2013-2,160.65098987679315
2013-3,161.59850440565302
2013-4,155.32973268829284
2013-5,157.40824679728206
2013-6,158.9200761909071
2013-7,160.0214519044663
2013-8,159.96392182485013
2013-9,160.248951375548
2013-10,161.7604580838204
2013-11,161.14511122053904
2013-12,161.0034107884668
2014-1,157.87474076829002
2014-2,160.26633065473231
2014-3,160.58574906790878
2014-4,159.7191746327656
2014-5,160.4606022096705
2014-6,162.8948239606037
2014-7,167.69341118001606
2014-8,170.09413931038688
2014-9,173.34282661293167
2014-10,175.90902138597522
2014-11,177.83524068013946
