,0
1997-1,100.0
1997-2,104.83200512456938
1997-3,117.3057880512252
1997-4,110.19212351309287
1997-5,113.43265543374903
1997-6,122.96999609044794
1997-7,121.92909592698129
1997-8,118.8572608769496
1997-9,118.15980077811956
1997-10,124.76813340627481
1997-11,114.16131152427116
1997-12,108.01770424953992
1998-1,104.96285819041398
1998-2,89.84466422866197
1998-3,103.22326110259479
1998-4,96.43450343649833
1998-5,91.29689949205179
1998-6,84.70730314117984
1998-7,78.88721488557191
1998-8,79.3925854574795
1998-9,74.40885585736532
1998-10,73.21317053522851
1998-11,73.79988984493684
1998-12,74.96512277662758
1999-1,75.42114195230393
1999-2,76.13811706959642
1999-3,73.88944073766291
1999-4,77.21964920520075
1999-5,76.72321142920437
1999-6,78.44631020142012
1999-7,77.447282527943
1999-8,75.1395069611751
1999-9,72.84160034660088
1999-10,71.96910984112004
1999-11,70.68096609753684
1999-12,71.91746281904918
2000-1,73.76919795170159
2000-2,73.22868670726173
2000-3,72.74490043748055
2000-4,69.99784643526485
2000-5,70.19766650449208
2000-6,64.12469714670065
2000-7,62.75812021346404
2000-8,64.48507314577442
2000-9,67.0134168070138
2000-10,66.52620919968743
2000-11,64.99832748556123
2000-12,64.24422718932765
2001-1,63.348146942373695
2001-2,64.0762797409924
2001-3,64.1811964063703
2001-4,62.91985489522761
2001-5,62.995639085437695
2001-6,62.814047633655115
2001-7,62.97342467504786
2001-8,62.787351672332704
2001-9,60.77582966793981
2001-10,59.18962304435175
2001-11,54.979815717540205
2001-12,57.641459846461416
2002-1,59.9403413789279
2002-2,61.04358440251448
2002-3,59.213435541877814
2002-4,56.851301919796036
2002-5,58.31510588844979
2002-6,56.9629487591758
2002-7,56.92141319940581
2002-8,54.90041328481232
2002-9,54.570608116624975
2002-10,57.20759555256157
2002-11,54.092486662617965
2002-12,51.32911053919001
2003-1,54.991541938906295
2003-2,57.73868542019323
2003-3,54.81257202829365
2003-4,52.76296703173362
2003-5,51.07756692515548
2003-6,52.767110708643706
2003-7,52.4644807911979
2003-8,51.210847984410066
2003-9,51.528246178947334
2003-10,53.797951028140055
2003-11,53.715203911266705
2003-12,54.38507935248863
2004-1,57.05560549769899
2004-2,59.40490044301504
2004-3,66.90456103630225
2004-4,65.29412512543631
2004-5,65.53456814771349
2004-6,63.96318679759227
2004-7,64.11368317591332
2004-8,67.86297845444781
2004-9,66.41702392539423
2004-10,74.45526189427481
2004-11,72.22006415515075
2004-12,70.60188733572784
2005-1,71.31714699486334
2005-2,73.0706144072897
2005-3,73.83437112942237
2005-4,74.96551258427444
2005-5,76.94494686747727
2005-6,76.81107137771116
2005-7,77.22355787558621
2005-8,76.66881874860464
2005-9,74.83013481397008
2005-10,85.2858974153628
2005-11,74.41679784488558
2005-12,71.55626955486642
2006-1,72.90127260342923
2006-2,77.11392088940293
2006-3,75.15561021020639
2006-4,73.76644227334565
2006-5,75.05339898247308
2006-6,71.84241040190884
2006-7,73.04195923099253
2006-8,77.6899542193149
2006-9,79.03942701777518
2006-10,72.03221289914104
2006-11,74.14197613316558
2006-12,73.01030624747324
2007-1,72.76979966983727
2007-2,73.08007874429407
2007-3,75.73630735003306
2007-4,75.88806273034
2007-5,75.13287920040662
2007-6,74.51578702572841
2007-7,76.33829043318381
2007-8,76.50847025539659
2007-9,81.82011015195624
2007-10,85.69972586590202
2007-11,87.79218460531499
2007-12,94.00913175057559
2008-1,91.59225747119861
2008-2,91.73699523027668
2008-3,91.40463769018811
2008-4,89.26817716162253
2008-5,96.79920239485959
2008-6,93.3918071517937
2008-7,87.81062780246167
2008-8,87.27599291424136
2008-9,86.64436398075135
2008-10,80.91583990909136
2008-11,76.54409524945812
2008-12,80.2469193746504
2009-1,80.15475650674252
2009-2,80.05777644022761
2009-3,81.64961147433672
2009-4,86.79382409776696
2009-5,86.48565925096149
2009-6,88.63957319641719
2009-7,90.90673546829724
2009-8,97.07487802589633
2009-9,95.87416252242573
2009-10,99.03428254603297
