,0
1997-1,100.0
1997-2,103.43072344135761
1997-3,108.98472160948718
1997-4,119.408859958622
1997-5,118.28429376749916
1997-6,122.31648691223805
1997-7,130.72504022889163
1997-8,120.67647063548279
1997-9,108.54370182350628
1997-10,126.095003688891
1997-11,114.67775280102425
1997-12,115.72361498796589
1998-1,101.73720867527348
1998-2,96.16109639460366
1998-3,95.96800600735044
1998-4,91.0312591027699
1998-5,86.76523949643052
1998-6,76.11909331698494
1998-7,72.85540154697925
1998-8,75.46850469896785
1998-9,69.7314889910863
1998-10,71.91846427206184
1998-11,73.35957318793776
1998-12,76.13492697339305
1999-1,75.69769466562943
1999-2,76.05324525076621
1999-3,76.58413561293868
1999-4,77.72566614544318
1999-5,77.32928519827676
1999-6,78.38490969278597
1999-7,81.85642134691706
1999-8,77.36311222130668
1999-9,75.13727325355507
1999-10,73.89071897855912
1999-11,75.89239331576928
1999-12,73.70300243377186
2000-1,73.18592396614942
2000-2,72.51107657593661
2000-3,69.89680928100523
2000-4,72.02253814467508
2000-5,69.60938990336409
2000-6,66.10233581924655
2000-7,66.41933795291712
2000-8,66.43993467085681
2000-9,66.55195795764539
2000-10,66.18312449059113
2000-11,64.49144907457182
2000-12,63.89436331496261
2001-1,64.46288942041518
2001-2,64.51494006497136
2001-3,64.45920966983043
2001-4,62.57058994710166
2001-5,63.97808287130111
2001-6,64.30088892203185
2001-7,63.977773943626225
2001-8,62.42536792168678
2001-9,62.6743584044668
2001-10,62.553013077184296
2001-11,58.465015912457574
2001-12,60.188595749940475
2002-1,61.338318503334065
2002-2,61.365494255079156
2002-3,58.55051230108834
2002-4,58.494406333221875
2002-5,62.01715334751366
2002-6,59.21700357884745
2002-7,58.552024289418135
2002-8,60.69145733267995
2002-9,60.14256256872868
2002-10,57.942414674748676
2002-11,58.61721364400515
2002-12,57.599852018108955
2003-1,55.09752695950776
2003-2,56.955526980698856
2003-3,48.56412576619719
2003-4,49.36306127489778
2003-5,50.5188412511855
2003-6,55.50963588010762
2003-7,52.41433937166001
2003-8,51.897005171469424
2003-9,53.04687631635534
2003-10,54.10684805577323
2003-11,53.21146567561074
2003-12,54.622344156945644
2004-1,58.25923802629157
2004-2,60.03886705372342
2004-3,61.15297899701061
2004-4,62.092101517712564
2004-5,65.54057814184273
2004-6,71.40422478029588
2004-7,61.95953308828038
2004-8,64.16372057653655
2004-9,65.20689122060601
2004-10,65.39032284180568
2004-11,68.1699885534079
2004-12,66.34045316278821
2005-1,72.98622111507395
2005-2,72.70832051463239
2005-3,68.43611961449938
2005-4,71.56662077908288
2005-5,76.12460364187545
2005-6,73.20048045356967
2005-7,70.81821184483753
2005-8,70.22160101215536
2005-9,80.77917976452073
2005-10,74.29164028315488
2005-11,67.97612214482149
2005-12,65.88954402953411
2006-1,66.11497973078868
2006-2,68.6352438695205
2006-3,75.52707560482685
2006-4,68.45213310981687
2006-5,71.55679915940254
2006-6,67.40074572432255
2006-7,68.48936505639439
2006-8,75.60913324574237
2006-9,72.66403804394311
2006-10,68.30570382469816
2006-11,68.42589001168463
2006-12,67.14501066199605
2007-1,67.56441938471367
2007-2,66.81640005709873
2007-3,66.4755199221535
2007-4,68.54197063815441
2007-5,69.481302898494
2007-6,70.0378684551948
2007-7,70.74914763125285
2007-8,71.06512017380953
2007-9,72.05259192751022
2007-10,71.57281225343792
2007-11,72.86714180749853
2007-12,75.23310783165105
2008-1,77.28005809778274
2008-2,79.73945016789563
2008-3,95.0638687120644
2008-4,79.05165220066719
2008-5,86.46591993252204
2008-6,80.02241388417899
2008-7,78.0879717664683
2008-8,78.79665544810369
2008-9,77.34220880603125
2008-10,72.98790917753838
2008-11,68.2049163708106
2008-12,74.25145298087403
2009-1,69.75005341775312
2009-2,70.49086810292165
2009-3,70.77141149573491
2009-4,73.21983500178672
2009-5,76.93670275564321
2009-6,82.26057754487441
2009-7,86.11714969717539
2009-8,82.30744446486382
2009-9,82.09217609676838
2009-10,82.9995474331529
2009-11,83.5503141417366
2009-12,83.0168615435941
2010-1,84.68532758531923
2010-2,88.40903935185713
2010-3,90.24073623028198
2010-4,91.08244115828305
2010-5,89.47818286245918
2010-6,89.23660877753692
2010-7,91.6562801399397
2010-8,93.56799834240321
2010-9,94.12858724403745
2010-10,100.38871361868276
2010-11,98.79199568157053
2010-12,98.17468470167037
2011-1,102.67840997965763
2011-2,105.65995629658522
2011-3,110.47558771239265
2011-4,116.25225896665819
2011-5,113.5687623005167
2011-6,113.82112021982107
2011-7,111.9865985649373
2011-8,111.36889008686084
2011-9,112.43270886360102
2011-10,113.15442299709846
2011-11,111.39702122313876
2011-12,109.1315675334847
2012-1,109.34840560032264
2012-2,110.7202659993813
2012-3,114.94246757818209
2012-4,117.9039608617806
2012-5,120.28619219368073
2012-6,120.75883891468861
2012-7,125.81916795466508
2012-8,126.17760628035903
2012-9,133.06923610853255
2012-10,136.78597019840387
2012-11,136.95513881962697
2012-12,136.93091579945465
2013-1,145.07317130630693
2013-2,148.97624381458326
2013-3,149.89067058943957
2013-4,142.47978711143875
2013-5,145.0997330661184
2013-6,147.71085144236324
2013-7,148.61633924076662
2013-8,148.40444859686627
2013-9,150.4003580972261
2013-10,150.2893355081788
2013-11,148.55265640951717
2013-12,147.73432193206227
2014-1,147.76307894727725
2014-2,149.53000296363638
2014-3,150.5524109039193
2014-4,149.67798130471476
2014-5,149.12349485705298
2014-6,153.63194056722494
2014-7,157.7595517450844
2014-8,158.90932891587917
2014-9,162.68477889169506
2014-10,166.9646416333599
2014-11,167.92807909502164
