,0
1997-1,100.0
1997-2,102.7107739193242
1997-3,112.0954931452452
1997-4,111.6415477773407
1997-5,116.66030650274249
1997-6,123.94691613150314
1997-7,118.03340789140051
1997-8,121.00783165915831
1997-9,120.48250616757143
1997-10,123.47389675900648
1997-11,115.85851363287452
1997-12,110.6466748552019
1998-1,100.6239958734683
1998-2,97.29550993633835
1998-3,96.531606300389
1998-4,95.83154331622072
1998-5,89.5460740820592
1998-6,80.87060002837775
1998-7,76.00691535207989
1998-8,70.77952269491065
1998-9,67.763904255232
1998-10,67.39182402069352
1998-11,71.4610816096663
1998-12,73.54319506579834
1999-1,72.67880941541314
1999-2,73.77413692230155
1999-3,71.30213071323111
1999-4,74.0107802377702
1999-5,74.09590486353657
1999-6,75.04370102471268
1999-7,73.60020216009475
1999-8,73.75353583260872
1999-9,71.3316214117921
1999-10,70.32146489954413
1999-11,66.38963337346563
1999-12,70.5211884126504
2000-1,71.23926276143516
2000-2,79.22991594032894
2000-3,72.34450774297542
2000-4,68.6696296715002
2000-5,67.23995307038395
2000-6,64.40269032144788
2000-7,67.67814407770484
2000-8,65.937401462493
2000-9,67.50009402837469
2000-10,66.40536418551211
2000-11,59.43828166476499
2000-12,61.454600527977846
2001-1,63.57586480988293
2001-2,63.79642266848962
2001-3,63.48598692421123
2001-4,63.385528646149446
2001-5,62.091761861857094
2001-6,62.07144376601301
2001-7,62.54297493974234
2001-8,60.95484959569498
2001-9,61.25846207181084
2001-10,57.31106167451249
2001-11,57.081173029158315
2001-12,58.19645827621447
2002-1,58.095890348160125
2002-2,58.60267924774156
2002-3,56.7723950341789
2002-4,56.61273906923414
2002-5,56.54694246141434
2002-6,57.116588449399295
2002-7,55.5379235165182
2002-8,55.66030202385242
2002-9,53.90292481117669
2002-10,52.982317916330835
2002-11,50.864099949560284
2002-12,52.382584892812865
2003-1,50.52820498759934
2003-2,48.49629089841913
2003-3,49.91401348205493
2003-4,49.812267412512156
2003-5,48.97048442159836
2003-6,49.00527342864772
2003-7,48.89844611449245
2003-8,48.04687342825306
2003-9,51.15709801194731
2003-10,53.71148873787948
2003-11,54.807883815209266
2003-12,55.93971571434358
2004-1,60.74156114143507
2004-2,65.2483711874801
2004-3,64.95597728787371
2004-4,67.01898588353981
2004-5,70.05700121243089
2004-6,69.85022667364814
2004-7,63.1449743707876
2004-8,76.1701932448197
2004-9,68.6372141882898
2004-10,73.4014989736908
2004-11,71.76072622499736
2004-12,73.18242873264104
2005-1,75.80605095651282
2005-2,77.39955801342569
2005-3,74.20398931778514
2005-4,75.25057557105612
2005-5,76.07612567751347
2005-6,75.80662097643727
2005-7,73.4439460662531
2005-8,75.16739918486604
2005-9,78.68508603950964
2005-10,76.53261874895617
2005-11,74.12980003253091
2005-12,73.03968606944451
2006-1,74.16550262411481
2006-2,75.66565426712715
2006-3,74.70453425663673
2006-4,76.06229180344111
2006-5,76.07847613918102
2006-6,76.96116086691292
2006-7,77.17863685528386
2006-8,76.58397743315864
2006-9,76.22833013952031
2006-10,78.45296898229222
2006-11,76.16931268693834
2006-12,77.50782638963354
2007-1,80.12241543498111
2007-2,79.69039687534347
2007-3,79.36277052214088
2007-4,81.41313720746425
2007-5,83.94041678097362
2007-6,83.46948714383402
2007-7,84.5627477599222
2007-8,84.98942209903649
2007-9,86.88398742504447
2007-10,90.5194279777391
2007-11,95.11621925087631
2007-12,98.73328154672427
2008-1,103.60268808608637
2008-2,106.0034917118608
2008-3,106.14022062749622
2008-4,104.36045457947694
2008-5,104.22307076605652
2008-6,107.55192729119682
2008-7,107.42781683992688
2008-8,101.56888218833582
2008-9,102.36566236783435
2008-10,91.40990346705645
2008-11,84.18047544213717
2008-12,85.46021645834274
2009-1,87.04514460894576
2009-2,88.04536753475564
2009-3,88.78901113621464
2009-4,92.6227285882468
2009-5,96.69424552448777
2009-6,102.48828832017635
2009-7,104.15982455256272
2009-8,105.31874519420032
2009-9,108.3777716461392
2009-10,109.49511264626442
2009-11,111.11232968625475
2009-12,109.8968551510967
2010-1,111.97181670068106
2010-2,118.0198428276207
2010-3,121.80372811196767
2010-4,118.69374083366063
2010-5,119.97976992063279
2010-6,119.02288716828554
2010-7,125.30868865796482
2010-8,127.57473380979332
2010-9,127.9497012026501
2010-10,129.6753188746637
2010-11,131.29193287977438
2010-12,131.7316376189901
2011-1,135.86667234615692
2011-2,141.52835687085204
2011-3,146.0656162822295
2011-4,148.35150647742583
2011-5,151.6797553471662
2011-6,151.15086050070147
2011-7,150.89442353792845
2011-8,152.51202271764882
2011-9,146.73007736000324
2011-10,149.47165240081307
2011-11,149.68540961308648
2011-12,141.41261984402053
2012-1,143.18111737950792
2012-2,146.79185850761246
2012-3,152.1872029546392
2012-4,158.38085517076138
2012-5,159.43446233387445
2012-6,160.62493040448518
2012-7,162.28988427528733
2012-8,163.69590589751516
2012-9,168.53343990985644
2012-10,172.7549474124047
2012-11,176.00090388013842
2012-12,173.9397885610355
2013-1,178.44442178190093
2013-2,183.7872285067649
2013-3,187.19655852733334
2013-4,183.69537590807133
2013-5,182.60275662660788
2013-6,182.37968032537253
2013-7,182.31419430320548
2013-8,181.68485344418525
2013-9,181.2488547868972
2013-10,185.42738756700192
2013-11,179.11138016421543
2013-12,187.89825621771195
2014-1,181.5152233628617
2014-2,180.53425085415532
2014-3,185.03535731134514
2014-4,178.80353318244525
2014-5,181.9300722186641
2014-6,183.9326515971675
2014-7,185.67230595665328
2014-8,191.54868841521952
2014-9,195.24342730632154
2014-10,196.11280830057035
2014-11,197.4025083877848
